SpaceName,PbaName
dev2-ad00000247,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:661180bd-4597-34c9-806a-f2f1c8aa0545
dev2-ad00000266,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:98392f3c-7f7b-3c9c-9a71-df0151e23c93
dev2-ad00000283,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:415fc9b1-fb7c-3786-b07b-5b3f90209ed0
dev2-ad00000334,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:e23a93c0-287a-3a1f-bb94-b790d83120b3
dev2-ad00000357,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:d03f8145-e090-32fe-a8ca-bb2d74818e1b
dev2-ad00000474,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:b02ddd1e-321b-376c-8488-99238655a65e
dev2-ad00000472,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:d3ea8ab8-8208-3e18-ba5e-4eefe2b8ef89
dev2-ad00000377,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:965c7988-3389-38ae-b234-6c162b206681
dev2-ad00000382,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:5595132e-e7d7-32f1-90c6-699feee08ea7
dev2-ad00000409,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:3a85d648-ff37-31df-93a7-e02904ed5154
dev2-ad00000401,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:dcd1aeff-be0b-39de-8265-bd9264662b1a
dev2-ad00000432,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:61942d07-9461-3eca-8ba9-9a0fdcaa0183
dev2-ad00000431,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:ee821647-fe3f-3a22-9a98-4414221e2f52
dev2-ad00000438,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:8bdb59d0-6360-3bc0-a692-6572318a2eea
dev2-ad00000445,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:8bfcc54d-7d2f-303b-8545-51d4754a5699
dev2-ad00000521,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:abac7655-c69f-3b3c-971d-e840791085ee
dev2-ad00000479,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0a1fe579-8f51-376d-9938-8262573d18c4
dev2-ad00000509,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:60ee4dd2-3bff-3c9e-ab6b-f072b340b155
dev2-ad00000556,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:dc868d72-dd04-36fe-b9ac-853bf9d7b8a4
dev2-ad00000568,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:2019192e-668a-3fe7-b2c2-f0eb54b3b77c
dev2-ad00000567,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:dbe9b83b-39b7-3d1e-9a63-89648ec5ccfd
dev2-ad00000553,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:8674b79c-b09c-3c8a-9b43-399f13cd081b
dev2-ad00000574,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:5d78e084-b631-3c20-9a65-76917b90bfe5
dev2-ad00000591,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7067ffbe-c916-3833-8202-008814a1a9e4
dev2-ad00000596,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:c9ef2ca5-779a-301e-983b-6597f26bdaeb
dev2-ad00000613,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:1b1fbdc0-508e-3b48-84c5-bd2c34863d70
dev2-ad00000671,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:631c705e-622e-3437-99b4-df03b89796a2
dev2-ad00000624,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:398f74d2-47c0-30ad-b9c6-0a9ff6759da0
dev2-ad00000662,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7a53c3c3-312d-3f7e-b8cf-081a89557350
dev2-ad00000640,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:80781081-07f2-320e-b5d7-b7fa0cbbc5b2
dev2-ad00000639,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:9c61787b-535c-317b-b289-d7202479da44
dev2-ad00000704,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:ecba3ba3-f53b-3167-80a8-82e81a3c817c
dev2-ad00000679,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:01ea5975-f5bd-3ee2-9617-6f48b120015b
dev2-ad00000713,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0a14e0cb-5797-3bf5-ba3e-01a949275812
dev2-ad00000673,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:692f1bf2-2fc2-3e30-90e2-4f2be3454f00
dev2-ad00000746,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:a6dcc0a0-ab2b-3172-b627-9186c0a5b1ae
dev2-ad00000742,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:3cfa320a-8991-34a8-a02d-1573ae598b47
dev2-ad00000768,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:95ad904c-2a90-320e-a7cc-b8065e190dd2
dev2-ad00000760,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:b9c70255-b531-3f43-a331-c407bc1dfeba
dev2-ad00000794,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:3840684e-afd9-354d-a1f0-5abac9b246d5
dev2-ad00000779,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:8c5bd1c1-6126-3609-8de0-b9fcfa9c4d64
dev2-ad00000785,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:8cf3ec3e-c1a8-3be9-890c-06294252d22b
dev2-ad00000789,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:1aec8d54-c135-38ba-b678-596e8f805551
dev2-ad00000804,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:1b81261d-545e-39aa-86e0-37d7c9ae6af6
dev2-ad00000980,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:50b69e54-eaef-30f1-881c-c72304d8a0b5
dev2-ad00000780,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:ccf08022-53bf-3249-8ae3-ff0223fa0b4e
